School ID,Name of School,"Elementary, Middle, or High School",Street Address,City,State,ZIP Code,Phone Number,Link ,Network Manager,Collaborative Name,Adequate Yearly Progress Made? ,Track Schedule,CPS Performance Policy Status,CPS Performance Policy Level,Healthy Schools Certified?,Safety Icon ,Safety Score,Family Involvement Icon,Family Involvement Score,Environment Icon ,Environment Score,Instruction Icon ,Instruction Score,Leaders Icon ,Leaders Score ,Teachers Icon ,Teachers Score,Parent Engagement Icon ,Parent Engagement Score,Parent Environment Icon,Parent Environment Score,Average Student Attendance,Rate of Misconducts (per 100 students) ,Average Teacher Attendance,Individualized Education Program Compliance Rate ,Pk-2 Literacy %,Pk-2 Math %,Gr3-5 Grade Level Math %,Gr3-5 Grade Level Read % ,Gr3-5 Keep Pace Read %,Gr3-5 Keep Pace Math %,Gr6-8 Grade Level Math %,Gr6-8 Grade Level Read %,Gr6-8 Keep Pace Math%,Gr6-8 Keep Pace Read %,Gr-8 Explore Math %,Gr-8 Explore Read %,ISAT Exceeding Math %,ISAT Exceeding Reading % ,ISAT Value Add Math,ISAT Value Add Read,ISAT Value Add Color Math,ISAT Value Add Color Read,Students Taking  Algebra %,Students Passing  Algebra %,9th Grade EXPLORE (2009) ,9th Grade EXPLORE (2010) ,10th Grade PLAN (2009) ,10th Grade PLAN (2010) ,Net Change EXPLORE and PLAN,11th Grade Average ACT (2011) ,Net Change PLAN and ACT,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment (number of students) ,General Services Route ,Freshman on Track Rate %,RCDTS Code,X_COORDINATE,Y_COORDINATE,Latitude,Longitude,Community Area Number,Community Area Name,Ward,Police District,Location
609966,Charles G Hammond Elementary School,ES,2819 W 21st Pl ,Chicago,IL,60623,(773) 535-4580,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609966.pdf,Pilsen-Little Village Elementary Network,WEST SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 2,No,Average,40,NDA,NDA,Average,41,Average,43,NDA,NDA,NDA,NDA,Weak,43,Weak,45,95.3,8.5,95.2,92.0,77.4,NDA,27.4,24.8,62.4,53.7,38.1,28.8,60.2,59.8,12.8,5.3,10.1,5.8,0.5,0.2,Yellow,Yellow,25,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,446,39,NDA,150000000000000,1157809.015,1889554.623,41.85269133,-87.69627777,30,SOUTH LAWNDALE,12,10,"(41.85269133, -87.69627777)"
610539,Marvin Camras Elementary School,ES,3000 N Mango Ave ,Chicago,IL,60634,(773) 534-2960,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610539.pdf,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Not Enough Data,No,Average,54,Average,58,Weak,37,Average,41,Very Strong,83,Very Strong,88,Average,51,Strong,55,95.1,4.3,0.0,97.7,47.5,39.9,30.8,27.8,47.8,38.6,41.1,38.5,49.2,55.4,15.3,30.5,11.2,12,-1.8,-0.3,Red,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,826,30,NDA,150000000000000,1137482.296,1919394.9,41.93496641,-87.77016525,19,BELMONT CRAGIN,30,25,"(41.93496641, -87.77016525)"
609852,Eliza Chappell Elementary School,ES,2135 W Foster Ave ,Chicago,IL,60625,(773) 534-2390,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609852.pdf,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Yes,Standard,Not on Probation,Level 1,No,Strong,70,Strong,65,Average,53,Average,51,Average,56,Average,48,Average,50,Average,52,95.1,2.9,96.7,98.9,72.6,57,56,54.4,55.2,69,53.2,63.9,60,59.8,12.8,41,19.6,17.6,0.4,1,Yellow,Green,27.5,63.6,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,451,31,NDA,150000000000000,1161016.902,1934466.545,41.975867,-87.68325438,4,LINCOLN SQUARE,47,20,"(41.975867, -87.68325438)"
609835,Daniel R Cameron Elementary School,ES,1234 N Monticello Ave ,Chicago,IL,60651,(773) 534-4290,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609835.pdf,Garfield-Humboldt Elementary Network,WEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Average,42,NDA,NDA,Average,49,Average,50,NDA,NDA,NDA,NDA,Weak,46,Weak,46,92.6,153.9,96.2,98.4,47.8,21.1,16.4,16.1,31.3,34.7,19.2,15.6,33.5,35,9.2,7.1,10.3,5.9,-1,-1.4,Red,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,828,34,NDA,150000000000000,1151767.546,1908130.068,41.90378521,-87.71796315,23,HUMBOLDT PARK,26,25,"(41.90378521, -87.71796315)"
610521,Sir Miles Davis Magnet Elementary Academy,ES,6730 S Paulina St ,Chicago,IL,60636,(773) 535-9120,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610521.pdf,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Weak,35,NDA,NDA,Average,51,Average,54,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,93.0,57.8,94.5,100.0,63.9,62.3,24.8,14.1,43.1,52,22.6,17.1,49.1,45.5,4.4,13.3,5.9,3.2,0,-0.9,Yellow,Red,25.5,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,354,43,NDA,150000000000000,1166133.893,1859929.018,41.77122181,-87.66656657,67,WEST ENGLEWOOD,15,7,"(41.77122181, -87.66656657)"
609818,Luther Burbank Elementary School,ES,2035 N Mobile Ave ,Chicago,IL,60639,(773) 534-3000,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609818.pdf,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Weak,37,NDA,NDA,Average,42,Weak,34,NDA,NDA,NDA,NDA,Average,47,Average,49,95.2,9.8,95.5,100.0,60.8,45.2,42.8,34.9,61.2,63.8,41,34.4,55,54.5,13.1,17.2,20.6,11.3,-0.2,0.2,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1139,29,NDA,150000000000000,1134122.521,1913042.046,41.91759334,-87.78266267,19,BELMONT CRAGIN,29,25,"(41.91759334, -87.78266267)"
610298,Lenart Elementary Regional Gifted Center,ES,8101 S LaSalle St ,Chicago,IL,60620,(773) 535-0040,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610298.pdf,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,Yes,Standard,Not on Probation,Level 1,No,Strong,79,Average,58,Average,51,Strong,67,Average,50,Strong,63,Average,52,Average,52,97.4,0.3,97.8,100.0,NDA,NDA,93.9,96.9,69.4,46.9,93.5,96.8,57.6,55.9,86.7,93.3,88,86.4,1,0.5,Green,Yellow,100,70,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,328,45,NDA,150000000000000,1176725.617,1851241.455,41.74715024,-87.62800231,44,CHATHAM,21,6,"(41.74715024, -87.62800231)"
610200,James N Thorp Elementary School,ES,8914 S Buffalo Ave ,Chicago,IL,60617,(773) 535-6250,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610200.pdf,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Weak,32,NDA,NDA,Weak,39,Weak,39,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,91.8,45.4,95.9,100.0,51,24.3,9.1,10.4,33.6,31,27.3,30.5,52.9,43.8,3.6,20,8.7,3.6,-0.4,-1.2,Yellow,Red,14,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,449,47,NDA,150000000000000,1199554.7,1846396.13,41.73331035,-87.54451462,46,SOUTH CHICAGO,10,4,"(41.73331035, -87.54451462)"
609680,Walter Payton College Preparatory High School,HS,1034 N Wells St ,Chicago,IL,60610,(773) 534-0034,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609680.pdf,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Yes,Standard,Not on Probation,Level 1,No,Very Strong,98,NDA,NDA,Very Strong,80,Strong,77,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,93.4,0.7,96.1,100.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,21.2,21.8,23.1,23.2,2,27,3.9,96.4,96.9,82.4,881,33,90.7,150000000000000,1174484.638,1907490.082,41.90155157,-87.63453744,8,NEAR NORTH SIDE,27,18,"(41.90155157, -87.63453744)"
610056,Roswell B Mason Elementary School,ES,4217 W 18th St ,Chicago,IL,60623,(773) 534-1530,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610056.pdf,Austin-North Lawndale Elementary Network,WEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Weak,37,Average,47,Average,44,Average,58,Average,50,Weak,36,Average,51,Strong,54,92.4,31,95.0,94.5,48.4,NDA,8.1,20.3,34.2,31.2,12.9,28.4,24.3,39.8,5.7,26.9,4.2,5.8,-2.1,-0.8,Red,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,479,36,NDA,150000000000000,1148477.255,1891003.441,41.85685194,-87.73049117,29,NORTH LAWNDALE,24,10,"(41.85685194, -87.73049117)"
